date,location,link
"April 25, 2003","Miami, Florida, USA",http://www.ufcstats.com/event-details/ae58685caf8e4a0d
"June 06, 2003","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/108afe61a26bcbf4
"November 21, 2003","Uncasville, Connecticut, USA",http://www.ufcstats.com/event-details/e670f8cc2969a789
"September 26, 2003","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/c61f66d8c3fd5f07
"June 19, 2004","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/429e7d3725852ce9
"April 02, 2004","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/e8fb8e53bc2e29d6
"January 31, 2004","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/94609dd91731d428
"August 21, 2004","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/b4bc2e3353a770b5
"October 22, 2004","Atlantic City, New Jersey, USA",http://www.ufcstats.com/event-details/ce783bf73b5131f9
"April 09, 2005","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/fbbde91f7bc2d3c5
"August 06, 2005","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/3f24c96753dbd9f9
"February 05, 2005","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/85d905f7c4f5a1af
"June 04, 2005","Atlantic City, New Jersey, USA",http://www.ufcstats.com/event-details/d3711d3784b76255
"October 03, 2005","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/efaf544314bb5c2e
"April 16, 2005","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/c933d423ebdbbbdb
"October 07, 2005","Uncasville, Connecticut, USA",http://www.ufcstats.com/event-details/271fe91f4ba9d2c5
"August 20, 2005","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/669a3cb6e394f515
"January 16, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/2ee09ec2a0695eb9
"November 05, 2005","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/31ceaf0e670c1578
