date,location,poss_winner,poss_loser
"5' 5""",135 lbs.,Jessica-Rose Clark,Julija Stoliarenko
"5' 7""",125 lbs.,Shanna Young,Gina Mazany
"6' 0""",155 lbs.,Luke Flores,Jordan Leavitt
"5' 9""",155 lbs.,John Gunderson,Yves Edwards
"5' 11""",155 lbs.,Andre Winner,Anthony Njokuani
"6' 0""",145 lbs.,Megan Anderson,Amanda Nunes
--,265 lbs.,Bryan Humes,Gabriel Salinas-Jones
"6' 1""",245 lbs.,Gabriel Salinas-Jones,Devin Cole
"6' 3""",170 lbs.,Tyler Stinson,Jordan Mein
"5' 11""",170 lbs.,Eduardo Pamplona,Tyler Stinson
"5' 11""",135 lbs.,Jessamyn Duke,Elizabeth Phillips
"6' 3""",205 lbs.,Robert Drysdale,Keith Berish
"5' 5""",115 lbs.,Maiara Amanajas dos Santos,Sarah Frota
"July 25, 2017","Las Vegas, Nevada, USA",Karl Roberson,Ryan Spann
"July 16, 2019","Las Vegas, Nevada, USA",Antonio Arroyo,Stephen Regman
"5' 11""",185 lbs.,Stephen Regman,Antonio Arroyo
"6' 1""",264 lbs.,Justin Willis,Curtis Blaydes
"September 21, 2021","Las Vegas, Nevada, USA",AJ Dobson,Hashem Arkhagha
"5' 6""",125 lbs.,Sarah Frota,Gillian Robertson
"5' 8""",135 lbs.,Ketlen Vieira,Holly Holm
"August 04, 2020","Las Vegas, Nevada, USA",Dustin Jacoby,Ty Flores
"5' 4""",135 lbs.,Sarah Alpar,Erin Blanchfield
"6' 3""",155 lbs.,Rolando Delgado,Andre Winner
"5' 4""",115 lbs.,Paige VanZant,Amanda Ribas
"5' 8""",145 lbs.,Zarah Fairn,Felicia Spencer
"5' 6""",125 lbs.,Bec Rawlings,Ashlee Evans-Smith
"6' 0""",155 lbs.,Mark Holst,Paul Sass
"5' 8""",155 lbs.,Victor Martinez,Jacob Rosales
"5' 8""",145 lbs.,Joselyne Edwards,Ramona Pascual
"6' 0""",170 lbs.,Jerron Peoples,Roger Bowling
"6' 1""",135 lbs.,Peggy Morgan,Jessamyn Duke
"5' 7""",145 lbs.,Luis Gomez,Dan Ige
"6' 1""",185 lbs.,Chase Waldon,Geoff Neal
"5' 10""",243 lbs.,James Mulheron,Justin Willis
"5' 6""",135 lbs.,Elizabeth Phillips,Raquel Pennington
"6' 1""",145 lbs.,Lance Lawrence,Kevin Syler
"6' 2""",185 lbs.,Aaron Jeffery,Caio Borralho
"5' 6""",125 lbs.,Luis Rodriguez,Jerome Rivera
"5' 3""",115 lbs.,Livinha Souza,Randa Markos
"5' 11""",155 lbs.,Mikey Gonzalez,Uros Medic
"6' 3""",205 lbs.,Ty Flores,Dustin Jacoby
"5' 8""",135 lbs.,Kelly Faszholz,Ketlen Vieira
"5' 6""",115 lbs.,Heather Clark,Alexa Grasso
"5' 7""",145 lbs.,Ramona Pascual,Joselyne Edwards
"5' 3""",125 lbs.,Rachael Ostovich,Gina Mazany
"5' 7""",145 lbs.,Theo Rlayang,Steven Nguyen
"5' 4""",115 lbs.,Lisa Ellis,Bec Rawlings
"5' 2""",115 lbs.,Seo Hee Ham,Danielle Taylor
"5' 1""",115 lbs.,Tecia Torres,Mackenzie Dern
"5' 4""",115 lbs.,Felice Herrig,Karolina Kowalkiewicz
"5' 7""",115 lbs.,Valerie Letourneau,Viviane Pereira
"5' 3""",135 lbs.,Milana Dudieva,Marion Reneau
"5' 10""",185 lbs.,Caio Borralho,Armen Petrosyan
"5' 0""",115 lbs.,Brianna Fortino,Tecia Torres
"5' 3""",115 lbs.,Alex Chambers,Livinha Souza
"5' 4""",115 lbs.,Kailin Curran,Yan Xiaonan
"5' 4""",115 lbs.,Amanda Lemos,Michelle Waterson-Gomez
"5' 3""",125 lbs.,Amanda Ribas,Katlyn Chookagian
"5' 10""",155 lbs.,John Polakowski,Rolando Delgado
"5' 2""",145 lbs.,Josiane Nunes,Ramona Pascual
"5' 4""",125 lbs.,Erin Blanchfield,JJ Aldrich
"5' 4""",125 lbs.,Karine Gevorgyan,Rachael Ostovich
"5' 11""",145 lbs.,Steven Nguyen,Theo Rlayang
"5' 1""",115 lbs.,Angela Magana,Amanda Cooper
"5' 3""",115 lbs.,Karolina Kowalkiewicz,Felice Herrig
"5' 7""",115 lbs.,Jocelyn Jones-Lybarger,Nina Nunes
"5' 5""",115 lbs.,Juliana Lima,Randa Markos
"5' 1""",115 lbs.,Viviane Pereira,Yan Xiaonan
"5' 7""",115 lbs.,Jessica Rakoczy,Valerie Letourneau
"5' 0""",115 lbs.,Danielle Taylor,Zhang Weili
"5' 6""",115 lbs.,Joanna Jedrzejczyk,Zhang Weili
"April 28, 2012","Kansas City, Kansas, USA",Jessica Penne,Lisa Ellis
"5' 2""",115 lbs.,Aisling Daly,Ericka Almeida
"October 19, 2021","Las Vegas, Nevada, USA",Jonny Parsons,Solomon Renfro
"5' 3""",115 lbs.,Emily Kagan,Kailin Curran
"6' 3""",205 lbs.,Jesse Murray,Caio Borralho
"5' 5""",125 lbs.,Emily Whitmire,Hannah Goldy
"5' 1""",115 lbs.,Jamie Moyle,Emily Whitmire
"5' 3""",125 lbs.,Inoue Mizuki,Amanda Lemos
"5' 9""",135 lbs.,Bea Malecki,Josiane Nunes
"6' 3""",185 lbs.,Armen Petrosyan,Caio Borralho
"5' 2""",115 lbs.,Aleksandra Albu,Loma Lookboonmee
"6' 1""",185 lbs.,Gadzhi Omargadzhiev,Caio Borralho
"5' 1""",115 lbs.,Jodie Esquibel,Hannah Cifers
"6' 0""",145 lbs.,Aalon Cruz,Uros Medic
"6' 1""",170 lbs.,Nikolay Veretennikov,Michael Morales
"5' 6""",115 lbs.,Ericka Almeida,Aisling Daly
"5' 4""",115 lbs.,Claudia Gadelha,Yan Xiaonan
"5' 5""",115 lbs.,Tatiana Suarez,Nina Nunes
"6' 2""",185 lbs.,Hashem Arkhagha,AJ Dobson
"5' 9""",155 lbs.,Kevin Syler,Ken Cross
"6' 1""",185 lbs.,AJ Dobson,Jacob Malkoun
"5' 8""",135 lbs.,James Barnes,Pedro Falcao
"5' 6""",135 lbs.,Pedro Falcao,James Barnes
"5' 9""",170 lbs.,Solomon Renfro,Jonny Parsons
"6' 2""",205 lbs.,Kaloyan Kolev,Armen Petrosyan
"5' 4""",115 lbs.,Valesca Machado,Piera Rodriguez
"5' 9""",170 lbs.,Jonny Parsons,Solomon Renfro
"5' 5""",115 lbs.,Polyana Viana,Tabatha Ricci
"5' 7""",145 lbs.,Duda Santana,Bea Malecki
"6' 2""",185 lbs.,Jansey Silva,Gadzhi Omargadzhiev
"5' 5""",115 lbs.,Izabela Badurek,Aleksandra Albu
"5' 4""",125 lbs.,Veronica Macedo,Bea Malecki
"5' 7""",135 lbs.,Armando Villarreal,Ode Osbourne
"6' 7""",238 lbs.,Ricardo Prasel,Don'Tale Mayes
"5' 2""",115 lbs.,Tina Lahdemaki,Claudia Gadelha
"6' 1""",170 lbs.,Jason Jackson,Kyle Stewart
"6' 0""",170 lbs.,Kyle Stewart,Erik Koch
"6' 0""",155 lbs.,Ken Cross,Kevin Syler
"5' 8""",145 lbs.,Spike Carlyle,Bill Algeo
"5' 3""",115 lbs.,Jessica Aguilar,Marina Rodriguez
"6' 0""",170 lbs.,Logan Urban,Josh Quinlan
"5' 7""",135 lbs.,Jose Alday,Saimon Oliveira
"6' 0""",170 lbs.,Josh Quinlan,Logan Urban
"5' 9""",145 lbs.,Yazan Hajeh,Matt Sayles
"5' 7""",155 lbs.,Matt Sayles,Jordan Leavitt
"5' 8""",135 lbs.,Christian Ocon,Hunter Azure
"5' 4""",115 lbs.,Maia Stevenson,Polyana Viana
"6' 0""",145 lbs.,Jonathan Pearce,Makwan Amirkhani
"5' 4""",115 lbs.,Mallory Martin,Cheyanne Vlismas
"6' 5""",205 lbs.,Antonio Trocoli,Kenneth Bergh
"6' 2""",205 lbs.,Kenneth Bergh,Antonio Trocoli
"5' 10""",155 lbs.,James Wallace,Joe Solecki
"6' 0""",155 lbs.,Max Mustaki,Jalin Turner
"6' 1""",155 lbs.,Uros Medic,Omar Morales
"6' 0""",170 lbs.,Callan Potter,Song Kenan
"November 17, 2020","Las Vegas, Nevada, USA",JP Buys,Jacob Silva
"6' 2""",170 lbs.,Chance Rencountre,Lyman Good
"6' 0""",155 lbs.,Curt Warburton,Joe Lauzon
"5' 4""",125 lbs.,Chelsea Hackett,Victoria Leonardo
"5' 7""",155 lbs.,Caol Uno,Takeshi Inoue
"6' 0""",170 lbs.,George Sullivan,Mickey Gall
"5' 8""",155 lbs.,Alex Da Silva,Joe Solecki
"6' 3""",155 lbs.,Joel Alvarez,Arman Tsarukyan
"5' 11""",155 lbs.,Kyle Nelson,Jai Herbert
"5' 10""",170 lbs.,Thomas Denny,Nick Diaz
"January 25, 2003","Montreal, Quebec, Canada",Georges St-Pierre,Thomas Denny
"5' 7""",145 lbs.,Christian Rodriguez,Jonathan Pearce
"August 20, 2019","Las Vegas, Nevada, USA",Phil Rowe,Leon Shahbazyan
"5' 3""",115 lbs.,Micol Di Segni,Mallory Martin
"November 29, 2003","Victoriaville, Quebec, Canada",Patrick Cote,Steve Vigneault
"5' 4""",115 lbs.,Hannah Goldy,Molly McCann
"5' 10""",170 lbs.,Dave Strasser,Georges St-Pierre
"January 29, 2005","Montreal, Quebec, Canada",Georges St-Pierre,Dave Strasser
"5' 4""",115 lbs.,Pauline Macias,Gloria de Paula
"5' 9""",170 lbs.,Derrick Noble,Thiago Alves
"6' 0""",155 lbs.,Maciej Jewtuszko,Curt Warburton
"6' 1""",170 lbs.,Mike Rhodes,Erick Silva
"6' 0""",155 lbs.,Danilo Belluardo,Mark Madsen
"5' 8""",155 lbs.,Fabiano Iha,Din Thomas
"5' 9""",155 lbs.,Thiago Moises,Christos Giagos
"May 16, 2003","Las Vegas, Nevada, USA",Joe Stevenson,Thomas Denny
"6' 1""",170 lbs.,Igor Araujo,Sean Strickland
"5' 10""",185 lbs.,Steve Vigneault,Mike Swick
"5' 9""",155 lbs.,Din Thomas,Josh Neer
"5' 8""",135 lbs.,Phil Caracappa,Ricky Steele
"5' 8""",139 lbs.,Akiyo Nishiura,Caol Uno
"May 29, 2011","Saitama, Japan",Masakazu Imanari,Kenji Osawa
"5' 9""",135 lbs.,Ricky Steele,Phil Caracappa
"5' 10""",170 lbs.,Romie Aram,Dave Strasser
"5' 6""",135 lbs.,Desmond Torres,Steve Garcia
"6' 0""",155 lbs.,Steve Garcia,Maheshate
"6' 3""",205 lbs.,Marcos Brigagao,Jamal Pogues
"6' 3""",205 lbs.,Jamal Pogues,Marcos Brigagao
"6' 4""",170 lbs.,Leon Shahbazyan,Phil Rowe
"5' 7""",135 lbs.,Reyes Cortez,Christian Rodriguez
"5' 8""",145 lbs.,Takeshi Inoue,Hiroyuki Takaya
"5' 11""",185 lbs.,Papy Abedi,Dylan Andrews
"6' 0""",170 lbs.,Tony DeSouza,Roan Carneiro
"6' 2""",170 lbs.,Danny Mitchell,Sai Wang
"5' 9""",155 lbs.,Gleidson Cutis,Thiago Moises
"5' 10""",170 lbs.,Dave Menne,Luigi Fioravanti
"5' 11""",170 lbs.,Laverne Clark,Frank Trigg
"5' 2""",170 lbs.,Phil Johns,Fabiano Iha
"5' 7""",139 lbs.,Abel Cullum,Masakazu Imanari
"5' 5""",145 lbs.,Yusaku Nakamura,Atsushi Yamamoto
"5' 6""",139 lbs.,Keisuke Fujiwara,Kenji Osawa
"5' 7""",145 lbs.,Koichiro Matsumoto,Takeshi Inoue
"May 29, 2010","Saitama, Japan",Nick Diaz,Hayato Sakurai
"5' 6""",139 lbs.,Takafumi Otsuka,Bibiano Fernandes
"5' 6""",139 lbs.,Atsushi Yamamoto,Hideo Tokoro
"October 19, 2002","San Jacinto, California, USA",Romie Aram,Joe Stevenson
"5' 7""",135 lbs.,Kenji Osawa,Keisuke Fujiwara
"6' 2""",185 lbs.,Charlie Ontiveros,Steve Garcia
"5' 4""",139 lbs.,Masakazu Imanari,Antonio Banuelos
"5' 11""",170 lbs.,Steve Berger,Eddy Ellis
"5' 8""",155 lbs.,Mark Madsen,Vinc Pichel
"5' 11""",170 lbs.,Besam Yousef,Papy Abedi
"5' 8""",170 lbs.,Chatt Lavender,Tony DeSouza
"5' 9""",170 lbs.,Gil Castillo,Matt Hughes
--,--,Frank Caracci,Laverne Clark
"6' 1""",185 lbs.,Dylan Andrews,Brad Scott
"January 20, 2006","Honolulu, Hawaii, USA",Jake Shields,Dave Menne
"5' 9""",160 lbs.,Josh Stuart,Laverne Clark
"5' 8""",170 lbs.,Koji Oishi,Nick Diaz
"6' 0""",170 lbs.,Sai Wang,Danny Mitchell
--,--,Imani Lee,Ikuhisa Minowa
"6' 3""",170 lbs.,Seth Baczynski,Leon Edwards
"5' 7""",139 lbs.,Tomoya Miyashita,Keisuke Fujiwara
"October 25, 2009","Osaka, Japan",Alistair Overeem,James Thompson
"5' 11""",170 lbs.,Claude Patrick,Brian Ebersole
"5' 4""",139 lbs.,Federico Lopez,Norifumi Yamamoto
"5' 8""",170 lbs.,Aleksei Kunchenko,Elizeu Zaleski dos Santos
"6' 0""",170 lbs.,Jordan Mein,Alex Morono
"5' 9""",135 lbs.,Chris Manuel,Kenji Osawa
"5' 10""",185 lbs.,Benji Radach,Ovince Saint Preux
"6' 1""",170 lbs.,Simeon Thoresen,David Mitchell
"5' 9""",170 lbs.,Eddy Ellis,Steve Berger
"5' 11""",170 lbs.,TJ Waldburger,Mike Pyle
"August 12, 2018","Las Vegas, Nevada, USA",Raulian Paiva,Allan Nascimento
"6' 4""",205 lbs.,Vinicius Moreira,Ike Villanueva
"6' 1""",170 lbs.,Brad Scott,Carlo Pedersoli Jr.
"6' 0""",185 lbs.,Jimmy Quinlan,Dylan Andrews
"5' 4""",125 lbs.,Kevin Gray,Alex Perez
"5' 7""",135 lbs.,Donavon Frelow,Ricky Simon
"5' 11""",145 lbs.,Peter Petties,Julio Arce
"6' 0""",247 lbs.,Cyril Asker,Tai Tuivasa
"6' 0""",170 lbs.,Hernani Perpetuo,Tim Means
"5' 11""",154 lbs.,Won Sik Park,Kuniyoshi Hironaka
"6' 0""",185 lbs.,Andre Petroski,Nick Maximov
"5' 7""",135 lbs.,Julio Arce,Daniel Santos
"5' 10""",170 lbs.,Ricardo Funch,Dan Miller
"6' 0""",168 lbs.,Katsuyori Shibata,Hiroshi Izumi
"5' 11""",170 lbs.,Emil Meek,Jake Matthews
"5' 10""",170 lbs.,Daniel Roberts,Charlie Brenneman
"5' 9""",170 lbs.,Nick Serra,Benji Radach
"6' 0""",170 lbs.,Jake Hecht,Sean Pierson
"5' 10""",170 lbs.,Mike Stumpf,Pascal Krauss
"5' 6""",135 lbs.,Gisele Moreira,Dayana Silva
"6' 0""",170 lbs.,David Mitchell,Yan Cabral
"5' 2""",135 lbs.,Mabelly Lima,Luana Carolina
"6' 0""",185 lbs.,Michael Kuiper,Brad Scott
"5' 11""",168 lbs.,Ho Bae Myeon,Marius Zaromskis
"5' 11""",170 lbs.,Carlo Pedersoli Jr.,Dwight Grant
"5' 7""",135 lbs.,Dayana Silva,Gisele Moreira
"5' 10""",155 lbs.,Adam Lynn,Josh Thomson
"November 18, 2011","Las Vegas, Nevada, USA",Lumumba Sayers,Antwain Britt
"6' 2""",170 lbs.,Danny Davis,Quinn Mulhern
--,205 lbs.,Hiroshi Izumi,Gegard Mousasi
"5' 7""",135 lbs.,Daniel Santos,Julio Arce
"6' 2""",253 lbs.,Dmitrii Smoliakov,Greg Hardy
"September 17, 2007","Yokohama, Kanagawa, Japan",Kazushi Sakuraba,Katsuyori Shibata
"5' 11""",170 lbs.,Micheal Gillmore,Ramiz Brahimaj
"5' 10""",170 lbs.,David Hulett,Quinn Mulhern
"6' 0""",170 lbs.,Yuri Villefort,Sean Spencer
"5' 7""",155 lbs.,Karen Darabedyan,Will Kerr
"5' 7""",155 lbs.,Ronys Torres,Jacob Volkmann
"5' 9""",155 lbs.,Efrain Escudero,Kevin Lee
"6' 1""",170 lbs.,Pascal Krauss,Hyun Gyu Lim
"5' 8""",155 lbs.,Antonio McKee,Shinya Aoki
"6' 5""",265 lbs.,Shawn Teed,Juan Adams
"5' 10""",155 lbs.,Bobby Green,Islam Makhachev
"6' 1""",245 lbs.,Arjan Bhullar,Juan Adams
"5' 10""",185 lbs.,Willie Parks,Andreas Spang
"5' 9""",155 lbs.,Marc Stevens,John Cholish
"6' 1""",185 lbs.,Andreas Spang,Willie Parks
"5' 9""",155 lbs.,James Reese,Bobby Green
"6' 0""",185 lbs.,Joe Vedepo,Rob Kimmons
"5' 10""",155 lbs.,Mitch Clarke,Alex White
"5' 8""",125 lbs.,Qiu Lun,Wallen Del Rosario
"6' 2""",243 lbs.,Luis Henrique,Ryan Spann
"6' 1""",185 lbs.,Dan Miller,Trevor Smith
"5' 6""",125 lbs.,Erisson Ferreira da Silva,Qiu Lun
"6' 1""",170 lbs.,Yohan Lainesse,Gabe Green
"6' 1""",170 lbs.,Justin Burlinson,Yohan Lainesse
"5' 8""",155 lbs.,Jason Black,Matt Grice
"5' 9""",170 lbs.,Mark Scanlon,Pascal Krauss
"5' 9""",145 lbs.,Phillipe Nover,Ricky Glenn
"6' 3""",170 lbs.,Hyun Gyu Lim,Daichi Abe
"5' 7""",155 lbs.,Rodrigo de Lima,Efrain Escudero
"5' 10""",155 lbs.,Achilles Estremadura,Maheshate
"6' 0""",155 lbs.,Maheshate,Steve Garcia
"6' 3""",249 lbs.,Marcelo Golm,Sergei Pavlovich
"May 15, 2009","Fresno, California, USA",Mike Aina,Billy Evangelista
"6' 1""",255 lbs.,Carl Seumanutafa,Lavar Johnson
"5' 9""",155 lbs.,Charon Spain,Bobby Green
--,--,Lolohea Mahe,Shane del Rosario
"August 02, 2007","East Rutherford, New Jersey, USA",Dan Miller,Dave Phillips
"6' 5""",265 lbs.,Christian Colombo,Marcelo Golm
"June 09, 2022","Kallang, Singapore",Koyomi Matsushima,JunYoung Hong
"6' 0""",185 lbs.,Dave Phillips,Dan Miller
"May 16, 2008","Uncasville, Connecticut, USA",Dan Miller,Ryan McGivern
"5' 10""",170 lbs.,Gabe Green,Ian Garry
"6' 0""",185 lbs.,Ryan McGivern,Dan Miller
"5' 10""",170 lbs.,Chad W. Saunders,Jason Black
"5' 9""",155 lbs.,Kyle Bradley,Rafael Dos Anjos
"5' 7""",160 lbs.,Won Jin Eoh,Jason Black
"5' 10""",170 lbs.,Takenori Sato,Hyun Gyu Lim
"5' 8""",145 lbs.,Zubaira Tukhugov,Ricardo Ramos
"6' 1""",185 lbs.,John Salter,Casey Huffman
"6' 2""",205 lbs.,Virgil Zwicker,Guto Inocente
"5' 4""",125 lbs.,Wallen Del Rosario,Qiu Lun
"6' 1""",185 lbs.,Chad Sutton,Spencer Hearns
"February 12, 2011","East Rutherford, New Jersey, USA",Antonio Silva,Fedor Emelianenko
"5' 7""",155 lbs.,Torrance Taylor,Fabricio Camoes
"October 22, 2010","Fresno, California, USA",Bobby Voelker,Roger Bowling
"5' 11""",185 lbs.,Spencer Hearns,Chad Sutton
"5' 9""",155 lbs.,Mike Aina,Billy Evangelista
"6' 3""",170 lbs.,Ian Garry,Gabe Green
"5' 7""",155 lbs.,Pawan Maan,Jeka Saragih
"6' 1""",205 lbs.,Krzysztof Soszynski,Igor Pokrajac
"5' 8""",155 lbs.,Jeka Saragih,Pawan Maan
"5' 7""",125 lbs.,Shaun Etchell,Takeru Uchida
"5' 5""",125 lbs.,Takeru Uchida,Shaun Etchell
"5' 8""",145 lbs.,JunYoung Hong,Koyomi Matsushima
"5' 9""",145 lbs.,Lerone Murphy,Makwan Amirkhani
--,225 lbs.,Brett Albee,Virgil Zwicker
"6' 4""",250 lbs.,Shane del Rosario,Pat Barry
"September 23, 2011","Las Vegas, Nevada, USA",Lorenz Larkin,Nick Rossborough
"6' 3""",205 lbs.,Guto Inocente,Anthony Perosh
"5' 7""",145 lbs.,Koyomi Matsushima,JunYoung Hong
"5' 11""",145 lbs.,Kevin Roddy,Jason McLean
"6' 3""",185 lbs.,Casey Huffman,John Salter
"5' 5""",145 lbs.,Jason McLean,Kevin Roddy
--,170 lbs.,Don Carlo-Clauss,Sam Oropeza
"5' 10""",145 lbs.,Josh LaBerge,Anthony Leone
"6' 3""",205 lbs.,Shane Primm,Krzysztof Soszynski
"6' 2""",170 lbs.,Sam Oropeza,Don Carlo-Clauss
"5' 6""",135 lbs.,Anthony Leone,Josh LaBerge
"5' 10""",170 lbs.,John Salgado,Igor Gracie
"6' 0""",205 lbs.,Andre Gusmao,Krzysztof Soszynski
"6' 0""",240 lbs.,Ray Sefo,Valentijn Overeem
"5' 11""",170 lbs.,Igor Gracie,John Salgado
"April 29, 2006","Atlantic City, New Jersey, USA",Ben Rothwell,Krzysztof Soszynski
"5' 9""",170 lbs.,Todd Moore,Jason High
"5' 9""",145 lbs.,Nate Landwehr,Ludovit Klein
"5' 7""",145 lbs.,Shana Olsen,Julia Budd
"6' 0""",155 lbs.,Magno Almeida,James Terry
"6' 5""",205 lbs.,Nick Rossborough,Lorenz Larkin
"5' 9""",170 lbs.,Anthony Lapsley,Albert Tumenov
"6' 1""",170 lbs.,James Head,Jason High
"5' 10""",155 lbs.,Charlie Brenneman,Leandro Silva
"5' 10""",155 lbs.,Vagner Rocha,Jake Matthews
"6' 0""",155 lbs.,Paul Sass,Danny Castillo
"6' 4""",205 lbs.,Justin Ledet,Dustin Jacoby
"5' 10""",170 lbs.,Thiago Perpetuo,Kenny Robertson
"6' 3""",240 lbs.,Dmitry Sosnovskiy,Mark Godbeer
"5' 11""",170 lbs.,Roan Carneiro,Ryan LaFlare
"October 12, 2006","Lemoore, California, USA",Hermes Franca,Nate Diaz
"6' 1""",185 lbs.,Keith Berry,Adlan Amagov
"6' 1""",185 lbs.,Jake Rosholt,Kendall Grove
"6' 3""",245 lbs.,Kevin Jordan,Ray Sefo
"6' 0""",185 lbs.,Scott Smith,Lumumba Sayers
"5' 10""",155 lbs.,Nick Newell,Alexander Munoz
"6' 4""",265 lbs.,Curtis Blaydes,Tom Aspinall
"5' 9""",145 lbs.,Herbert Burns,Bill Algeo
"6' 3""",265 lbs.,Timothy Johnson,Marcelo Golm
"6' 7""",220 lbs.,Vinicius Queiroz,Rob Broughton
"5' 7""",154 lbs.,Artur Oumakhanov,Katsuhiko Nagata
"6' 11""",265 lbs.,Stefan Struve,Tai Tuivasa
"5' 9""",170 lbs.,Bret Bergmark,Vagner Rocha
"6' 5""",250 lbs.,Adam Wieczorek,Marcos Rogerio de Lima
"6' 0""",170 lbs.,Amilcar Alves,Charlie Brenneman
"6' 0""",155 lbs.,Cody McKenzie,Sam Stout
"6' 1""",242 lbs.,Oli Thompson,Philip De Fries
"5' 11""",185 lbs.,Constantinos Philippou,Gegard Mousasi
"5' 8""",185 lbs.,Jarrod Kwitty,Patrick Kaase
"April 05, 2009","Nagoya, Aichi, Japan",Hayato Sakurai,Shinya Aoki
"January 31, 2002","Curitiba, Parana, Brazil",Anderson Silva,Roan Carneiro
"5' 9""",185 lbs.,Patrick Kaase,Jarrod Kwitty
"6' 5""",256 lbs.,Tom Aspinall,Curtis Blaydes
"6' 0""",185 lbs.,Mike Moreno,Dave Terrel
"5' 11""",205 lbs.,Justin Hawes,Justin Levens
"5' 11""",155 lbs.,Robert Breslin,Poppies Martinez
"5' 11""",170 lbs.,Pete Sell,Matt Brown
"6' 3""",245 lbs.,Cody East,Curtis Blaydes
"August 06, 2019","Las Vegas, Nevada, USA",Omar Morales,Harvey Park
"October 14, 2005","Lemoore, California, USA",Ricco Rodriguez,Jimmy Ambriz
"6' 3""",264 lbs.,Junior Albini,Maurice Greene
"6' 0""",245 lbs.,Denis Stojnic,Stefan Struve
"6' 7""",265 lbs.,Sean McCorkle,Christian Morecraft
"6' 6""",260 lbs.,Christian Morecraft,Pat Barry
"5' 9""",145 lbs.,Poppies Martinez,Robert Breslin
"5' 10""",155 lbs.,Aaron Wilkinson,Cody McKenzie
"5' 4""",246 lbs.,Josh Diekmann,Justin Eilers
"5' 9""",155 lbs.,Marcus LeVesseur,Abel Trujillo
"5' 6""",139 lbs.,Daiki Hata,Mitsuhiro Ishida
"6' 1""",235 lbs.,Justin Eilers,Antonio Silva
"January 13, 2001","Fresno, California, USA",Rich Franklin,Aaron Brink
"6' 3""",265 lbs.,Matt Mitrione,Travis Browne
--,205 lbs.,Dennis Reed,Rich Franklin
"June 15, 2002","Hull, Quebec, Canada",Georges St-Pierre,Justin Bruckmann
"5' 11""",205 lbs.,Yan Pellerin,Rich Franklin
"5' 9""",215 lbs.,Andrew Martinez,Robert Breslin
"6' 3""",205 lbs.,Aaron Brink,Valentijn Overeem
"5' 6""",135 lbs.,Dwight Joseph,Jay Perrin
"6' 2""",265 lbs.,Shane Carwin,Junior Dos Santos
"5' 4""",125 lbs.,Marilia Santos,Lucrezia Ria
"6' 0""",185 lbs.,Taylor Johnson,Andre Muniz
"5' 6""",125 lbs.,Lucrezia Ria,Marilia Santos
"September 17, 2002","Honolulu, Hawaii, USA",Rich Franklin,Antony Rea
"5' 9""",145 lbs.,Gigo Jara,Poppies Martinez
"6' 0""",205 lbs.,Antony Rea,Rich Franklin
"6' 0""",155 lbs.,Harvey Park,Omar Morales
"December 31, 2003","Kobe, Hyogo, Japan",Alistair Overeem,Tomohiko Hashimoto
"April 16, 2004","Honolulu, Hawaii, USA",Rich Franklin,Leo Sylvest
"July 14, 2004","Anchorage, Alaska, USA",Rich Franklin,Ralph Dillon
"5' 11""",205 lbs.,Leo Sylvest,Rich Franklin
"6' 2""",205 lbs.,Ralph Dillon,Rich Franklin
"December 12, 2004","Honolulu, Hawaii, USA",Rich Franklin,Curtis Stout
"6' 1""",205 lbs.,Bryan Pardoe,Rashad Evans
"6' 6""",265 lbs.,Marcus Jones,Matt Mitrione
"6' 1""",185 lbs.,Jorge Rivera,Eric Schafer
"6' 1""",185 lbs.,Curtis Stout,Anderson Silva
"6' 3""",185 lbs.,Jason MacDonald,Tom Lawlor
"5' 10""",242 lbs.,Neil Wain,Shane Carwin
"6' 2""",234 lbs.,Christian Wellisch,Jake O'Brien
"6' 2""",265 lbs.,Kerry Schall,Keith Jardine
"6' 1""",205 lbs.,Matt Hamill,Thiago Silva
"6' 0""",185 lbs.,Nate Quarry,Jorge Rivera
"6' 3""",265 lbs.,Brock Lesnar,Mark Hunt
"6' 2""",205 lbs.,George Allen,Keith Jardine
"6' 1""",185 lbs.,Wilson Gouveia,Alan Belcher
"6' 0""",225 lbs.,Yuji Nagata,Fedor Emelianenko
"6' 0""",250 lbs.,Tomohiko Hashimoto,Alistair Overeem
"6' 0""",205 lbs.,Houston Alexander,Kevin Ferguson
"6' 4""",185 lbs.,Roger Gracie,Tim Kennedy
"January 07, 2012","Las Vegas, Nevada, USA",Luke Rockhold,Keith Jardine
"March 27, 2003","Lemoore, California, USA",Frank Shamrock,Bryan Pardoe
"June 02, 2004","Colusa, California, USA",Rashad Evans,Bryan Pardoe
"6' 3""",185 lbs.,Lee Murray,Anderson Silva
"April 30, 2005","London, England, United Kingdom",Anderson Silva,Jorge Rivera
"July 14, 2012","Portland, Oregon, USA",Luke Rockhold,Tim Kennedy
"6' 2""",185 lbs.,Rory Singer,Jason MacDonald
"December 03, 2005","London, England, United Kingdom",Anderson Silva,Curtis Stout
"5' 9""",185 lbs.,Lance Gibson,Evan Tanner
"6' 2""",185 lbs.,Alan Belcher,Michael Bisping
"6' 1""",255 lbs.,Min Soo Kim,Brock Lesnar
"5' 9""",185 lbs.,Lodune Sincaid,Doug Marshall
"6' 3""",185 lbs.,Tim Credeur,Ed Herman
"5' 11""",170 lbs.,Patrick Cote,Thiago Alves
