name,win,loss,tie,weight_lbs,reach_inch,stance,slpm,str_acc,sapm,str_def,tdavg,tdacc,tddef,subavg,w/l_ratio,age,inches
Seth Petruzelli,14,8,0,205.0,76.0,Orthodox,2.17,41,2.08,55,0.46,50,47,2.3,0.64,42,72
Johnny Rees,13,5,0,170.0,,Orthodox,3.29,64,0.84,47,1.15,25,50,0.0,0.72,39,72
Roxanne Modafferi,25,21,0,125.0,69.0,Orthodox,3.35,30,5.7,51,1.35,23,30,0.1,0.54,39,67
Reese Andy,7,3,0,205.0,,Orthodox,2.87,50,3.5,58,0.67,20,40,0.0,0.7,49,72
Rex Holman,4,2,0,205.0,,Southpaw,2.75,34,7.25,40,0.0,0,100,0.0,0.67,,75
Lionel Lanham,5,1,0,205.0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.83,41,
John Salter,14,3,0,185.0,74.0,Southpaw,1.68,32,1.68,68,2.85,46,66,0.5,0.82,37,73
Dave Phillips,13,7,0,185.0,,Orthodox,0.0,0,2.0,25,0.0,0,0,10.0,0.65,42,72
Buddy Roberts,12,3,0,185.0,,Orthodox,2.17,34,2.08,70,0.0,0,76,0.7,0.8,39,74
Steve Montgomery,9,5,0,185.0,,Southpaw,4.85,39,4.12,47,0.0,0,64,0.0,0.64,31,76
Nick Ring,14,4,0,185.0,74.0,Southpaw,3.52,42,3.48,62,1.36,36,52,0.3,0.78,43,72
Karlos Vemola,17,5,0,185.0,75.0,Orthodox,1.67,44,2.13,37,1.93,25,31,1.7,0.77,37,72
Antonio Mendes,18,13,0,205.0,77.0,Southpaw,1.34,47,6.85,22,2.51,50,100,0.0,0.58,41,75
Bethe Correia,11,6,1,135.0,64.0,Orthodox,4.37,43,4.93,56,0.39,18,85,0.0,0.65,39,65
Luke Zachrich,14,4,0,185.0,74.0,Orthodox,4.56,32,4.46,62,0.74,33,80,0.0,0.78,40,74
Josh Samman,13,4,0,185.0,79.0,Orthodox,2.08,52,2.47,34,1.09,33,33,0.4,0.76,34,75
Jennifer Maia,19,9,1,125.0,64.0,Orthodox,3.61,36,4.24,54,0.33,30,55,0.1,0.68,33,64
Lauren Murphy,16,5,0,125.0,67.0,Orthodox,3.84,40,4.45,58,1.11,34,71,0.1,0.76,38,65
Gerald Harris,23,5,0,185.0,77.0,Southpaw,1.41,29,1.58,62,2.96,54,72,0.0,0.82,42,71
Jason Brilz,22,6,1,205.0,71.0,Orthodox,2.66,40,1.78,65,2.37,25,25,1.3,0.79,47,71
Daniel Kelly,13,4,0,185.0,70.0,Southpaw,3.62,38,4.64,61,1.86,34,78,0.3,0.76,44,72
Barb Honchak,10,4,0,125.0,65.0,Orthodox,4.04,30,4.67,66,0.0,0,0,1.3,0.71,42,64
Casey O'Neill,9,0,0,125.0,69.0,Orthodox,8.65,57,4.68,57,2.59,44,60,1.0,1.0,24,66
Kevin Ferguson,5,2,0,235.0,77.0,Orthodox,2.3,50,3.41,38,3.1,72,36,1.2,0.71,48,74
Jon Madsen,8,2,0,240.0,72.0,Orthodox,2.46,41,1.18,81,1.32,71,70,0.0,0.8,42,72
Casey Huffman,3,1,0,185.0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.75,,75
Karol Rosa,15,4,0,135.0,67.0,Orthodox,6.65,55,4.45,50,1.4,50,72,0.0,0.79,27,65
Ryan McGivern,13,7,0,185.0,,Orthodox,2.22,29,2.22,57,0.0,0,0,0.0,0.65,42,72
Liliya Shakirova,8,2,0,125.0,65.0,Orthodox,2.7,30,2.58,74,0.0,0,0,0.0,0.8,30,64
Ronny Markes,17,5,0,185.0,75.0,Orthodox,2.17,53,2.43,45,3.13,40,100,0.5,0.77,34,73
Guilherme Vasconcelos,9,4,0,185.0,,Orthodox,3.27,29,4.4,70,0.0,0,0,0.0,0.69,36,72
Manon Fiorot,9,1,0,125.0,65.0,Orthodox,6.6,45,2.52,70,1.91,50,83,0.0,0.9,32,67
Jake Rosholt,12,5,0,185.0,,Orthodox,2.68,53,2.33,49,6.51,68,0,1.8,0.71,40,73
Tamdan McCrory,14,5,0,185.0,76.0,Switch,2.07,49,1.6,46,2.28,50,33,2.5,0.74,35,76
Maiquel Falcao,37,10,0,185.0,,Orthodox,1.67,55,0.53,86,1.0,100,71,3.0,0.79,41,71
Eliot Marshall,10,4,0,205.0,77.0,Orthodox,1.93,27,2.39,67,0.47,33,79,0.9,0.71,42,74
Patrick Walsh,10,3,0,185.0,,,2.03,19,2.83,64,3.0,54,100,1.5,0.77,33,71
Ricardo Funch,9,6,0,170.0,74.0,Southpaw,2.61,65,3.57,40,1.24,18,60,0.0,0.6,41,70
Justin Wren,13,2,0,265.0,,Orthodox,3.43,35,2.07,64,0.0,0,100,0.0,0.87,35,74
Mario Miranda,14,7,0,185.0,74.0,Orthodox,1.96,54,2.46,36,1.02,60,54,0.0,0.67,43,75
Bo Cantrell,10,10,0,235.0,,Orthodox,3.16,16,12.63,0,0.0,0,0,0.0,0.5,53,74
James Thompson,20,16,0,265.0,,Orthodox,5.13,52,3.19,41,3.14,36,53,1.3,0.56,43,77
Vanessa Melo,11,8,0,135.0,65.0,Orthodox,3.48,30,6.13,59,0.0,0,71,0.0,0.58,34,65
Mike Russow,15,3,0,255.0,73.0,Orthodox,1.55,47,2.9,59,4.66,43,0,0.7,0.83,45,73
Nissen Osterneck,12,4,0,185.0,,Orthodox,3.15,58,2.9,41,0.63,12,42,1.3,0.75,41,74
Shana Dobson,4,5,0,125.0,69.0,Orthodox,3.34,37,5.2,50,0.84,50,14,0.0,0.44,33,66
Mostapha Al-Turk,6,6,0,245.0,77.0,Orthodox,1.36,19,3.61,53,0.0,0,0,0.0,0.5,49,74
Lara Procopio,7,2,0,125.0,67.0,Orthodox,5.64,58,6.5,47,3.15,47,50,0.3,0.78,26,64
Victoria Leonardo,8,5,0,125.0,64.0,Orthodox,3.71,41,5.14,45,1.56,27,66,0.0,0.62,32,65
Jules Bruchez,1,2,0,205.0,,Southpaw,0.69,50,5.52,46,0.0,0,0,0.0,0.33,44,72
Vinny Magalhaes,14,9,0,205.0,75.0,Orthodox,2.14,24,3.97,68,1.55,44,66,0.8,0.61,38,75
Tabatha Ricci,7,1,0,115.0,61.0,Orthodox,2.95,37,4.89,58,3.95,45,0,0.0,0.88,27,61
Daniel Spohn,15,6,0,205.0,79.0,Southpaw,2.42,49,1.6,53,0.0,0,28,2.5,0.71,37,76
Henry Miller,6,16,0,270.0,,Southpaw,1.25,36,2.16,54,0.55,25,60,0.0,0.27,53,67
Pete Spratt,25,23,0,170.0,,Orthodox,1.63,48,1.33,55,0.3,100,46,0.3,0.52,51,69
Paulo Cesar Silva,2,6,0,385.0,,Orthodox,0.4,15,2.72,47,0.42,100,16,0.4,0.25,59,89
Alexandru Lungu,14,4,0,385.0,,Orthodox,3.61,66,7.22,40,0.0,0,0,0.0,0.78,47,72
Ryan Madigan,5,3,0,170.0,,Orthodox,0.0,0,3.35,47,0.0,0,0,0.0,0.62,,72
Shawn Jordan,19,8,0,260.0,75.0,Southpaw,2.87,50,3.3,47,1.97,38,76,0.1,0.7,37,72
Ariel Beck,4,5,0,125.0,66.0,Southpaw,4.44,34,4.31,64,0.0,0,0,0.0,0.44,31,66
Mariya Agapova,10,3,0,125.0,68.0,Southpaw,4.56,53,4.37,51,0.69,66,42,0.7,0.77,25,66
Marloes Coenen,23,8,0,145.0,67.0,,2.15,51,1.9,67,0.82,30,41,2.5,0.74,41,69
Roman Zentsov,18,12,0,230.0,,Orthodox,1.18,36,0.53,70,1.6,100,33,3.2,0.6,48,73
Maria Oliveira,13,5,0,115.0,69.0,Orthodox,5.14,34,6.11,45,0.91,50,46,0.0,0.72,25,66
Mandy Bohm,7,1,0,125.0,71.0,Orthodox,2.4,33,5.8,55,0.0,0,100,0.0,0.88,32,67
Justin McCully,11,5,2,225.0,73.0,Orthodox,1.58,37,2.02,46,1.28,44,43,0.0,0.69,46,73
Zach Light,9,11,0,170.0,,Orthodox,0.81,33,1.9,48,1.36,100,0,0.0,0.45,48,68
Chelsea Hackett,3,1,1,125.0,66.0,Switch,2.58,51,4.85,46,0.0,0,57,0.0,0.75,23,64
Anthony Perosh,15,10,0,205.0,75.0,Orthodox,2.27,43,3.77,53,2.03,22,33,1.1,0.6,49,75
Naoya Ogawa,7,2,0,255.0,,Orthodox,2.41,42,1.66,47,1.25,100,66,1.2,0.78,54,76
Oli Thompson,17,10,0,242.0,,Orthodox,1.66,46,5.31,46,0.0,0,50,0.5,0.63,42,73
Fiona Muxlow,6,3,0,145.0,,,1.44,27,5.45,34,0.0,0,0,0.0,0.67,45,64
Ruslan Magomedov,14,1,0,242.0,78.0,Orthodox,4.02,47,1.47,66,0.33,100,88,0.0,0.93,35,75
Mu Bae Choi,12,6,0,230.0,,Orthodox,1.55,49,3.65,44,3.12,75,60,1.0,0.67,52,74
Marcus Davis,22,11,0,170.0,70.0,Southpaw,2.72,39,2.79,65,1.6,48,47,1.4,0.67,48,70
Jack May,9,3,0,255.0,,Switch,1.52,38,3.29,33,0.91,33,20,0.0,0.75,41,80
Takashi Sugiura,1,3,0,225.0,,Southpaw,1.37,40,2.08,53,1.33,66,0,0.0,0.25,52,71
JP Buys,9,5,0,125.0,67.0,Orthodox,1.89,44,3.02,39,1.65,26,25,2.5,0.64,26,65
Gloria de Paula,6,5,0,115.0,67.0,Orthodox,4.89,53,3.77,66,0.74,37,65,0.5,0.55,27,65
Antoni Hardonk,8,6,0,245.0,78.0,Orthodox,3.4,61,3.07,46,0.0,0,40,0.9,0.57,46,76
Eddie Sanchez,15,8,0,230.0,74.0,Orthodox,3.45,43,3.3,43,1.13,26,42,0.0,0.65,39,74
Donnie Liles,17,7,0,170.0,,Orthodox,2.25,41,1.75,65,2.5,28,0,1.2,0.71,,69
Sean O'Connell,17,9,0,205.0,74.0,Orthodox,5.46,48,6.77,45,0.0,0,30,0.5,0.65,38,73
Stefan Leko,0,3,0,215.0,,Orthodox,2.4,43,6.17,68,0.0,0,0,0.0,0.0,48,74
Ryan Jimmo,19,5,0,205.0,73.0,Orthodox,3.12,66,2.77,46,0.45,28,87,0.0,0.79,40,73
Nick Penner,11,3,0,205.0,,Southpaw,1.25,30,4.6,38,0.0,0,40,0.0,0.79,42,76
Yusuke Imamura,2,6,0,220.0,,Orthodox,0.18,50,1.83,52,2.75,50,0,0.0,0.25,,68
Tom Blackledge,10,7,0,205.0,,Orthodox,2.91,61,2.55,46,0.0,0,75,0.0,0.59,,
Soa Palelei,22,5,0,265.0,81.0,Orthodox,2.47,57,2.68,48,2.2,47,66,0.0,0.81,45,76
Christian Wellisch,8,5,0,234.0,77.0,Orthodox,3.12,27,3.04,56,1.22,42,45,1.2,0.62,46,74
Shonie Carter,51,31,7,170.0,,Southpaw,1.62,36,2.32,47,0.75,66,75,0.0,0.62,50,70
Daniel Gracie,5,4,1,225.0,,Orthodox,1.9,38,1.33,59,0.36,100,80,2.1,0.56,,74
Mike Wessel,15,8,0,260.0,,Orthodox,1.82,56,6.43,22,6.29,50,0,0.0,0.65,44,72
Paul Taylor,11,6,1,155.0,72.0,Orthodox,4.44,47,4.47,55,0.27,25,56,0.5,0.65,42,72
Colin Robinson,10,12,0,243.0,,Orthodox,6.19,69,7.91,37,2.58,100,50,5.2,0.45,53,76
Pauline Macias,4,1,0,115.0,64.0,Southpaw,0.8,29,4.6,42,2.0,18,0,0.0,0.8,34,64
Jason Tan,5,3,0,170.0,,Orthodox,0.69,29,7.37,18,0.0,0,0,0.0,0.62,40,70
Jess Liaudin,20,11,0,170.0,72.0,Orthodox,2.46,51,2.76,41,3.28,53,30,1.6,0.65,,69
Sherman Pendergarst,11,18,0,235.0,,Orthodox,1.23,36,3.08,16,4.62,100,0,0.0,0.38,54,73
Steve Bosse,12,2,0,205.0,72.0,Orthodox,5.99,52,5.38,50,0.92,33,100,0.0,0.86,40,71
Diana Belbita,14,7,0,115.0,68.0,Orthodox,6.43,42,6.18,50,0.63,50,68,0.0,0.67,26,67
Matt Van Buren,7,6,0,205.0,,,7.73,45,6.82,49,0.0,0,50,0.0,0.54,36,77
Mario Neto,13,5,0,229.0,,Orthodox,1.89,50,1.89,70,2.84,100,0,0.0,0.72,,72
Joby Sanchez,11,4,0,135.0,68.0,Orthodox,3.22,36,2.82,63,0.95,71,51,0.4,0.73,31,66
Francimar Barroso,19,7,0,205.0,75.0,Orthodox,2.77,52,3.07,59,2.22,24,83,0.0,0.73,42,73
Jacob Silva,6,4,0,125.0,67.0,Orthodox,4.17,44,4.92,56,1.51,100,66,0.0,0.6,34,65
Wataru Sakata,11,14,0,195.0,,Southpaw,1.11,61,2.08,31,0.0,0,0,0.0,0.44,49,69
Scott Junk,8,3,1,265.0,,Orthodox,5.13,60,1.81,45,0.0,0,0,0.0,0.73,43,73
Shane Carwin,12,2,0,265.0,80.0,Orthodox,4.38,47,3.53,53,1.42,33,42,0.0,0.86,47,74
Brad Gumm,10,6,1,170.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.62,,71
Pat Miletich,29,7,2,170.0,,Orthodox,1.79,45,1.66,63,1.96,100,54,1.0,0.81,54,70
Adrian Serrano,56,29,4,170.0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.66,58,68
Jared Rosholt,14,4,0,265.0,75.0,Orthodox,2.08,46,1.52,59,1.83,41,66,0.1,0.78,35,74
Cody Donovan,8,5,0,205.0,74.0,Orthodox,5.61,59,5.44,45,1.67,28,0,1.7,0.62,41,75
Edilberto de Oliveira,29,15,2,170.0,,Orthodox,4.12,32,6.79,61,0.0,0,0,0.0,0.66,39,72
John Hathaway,17,2,0,170.0,75.0,Orthodox,3.4,40,1.8,62,2.61,43,60,0.9,0.89,35,73
Anthony Torres,5,3,0,170.0,,Orthodox,3.54,48,7.52,45,0.0,0,100,2.2,0.62,43,68
Duane Ludwig,21,14,0,170.0,70.0,Orthodox,4.62,44,3.05,57,0.43,25,59,0.1,0.6,43,70
Loma Lookboonmee,6,3,0,115.0,61.0,Orthodox,4.41,56,2.81,54,1.4,38,68,0.0,0.67,26,61
Tateki Matsuda,13,8,0,125.0,,Orthodox,3.2,34,3.43,69,0.0,0,16,0.0,0.62,36,67
Liana Jojua,8,5,0,125.0,62.0,Orthodox,2.42,30,5.32,54,1.71,66,50,1.3,0.62,27,64
Geane Herrera,9,3,0,125.0,66.0,Orthodox,1.51,31,5.07,52,0.83,37,38,0.6,0.75,32,65
Ednaldo Oliveira,17,3,1,205.0,,Orthodox,1.03,22,1.8,52,0.0,0,42,0.0,0.85,38,77
Manny Vazquez,11,2,0,125.0,72.0,Orthodox,1.47,41,2.67,48,1.0,33,0,1.0,0.85,28,70
Bruno Silva,12,5,2,125.0,65.0,Orthodox,2.98,46,3.23,58,2.89,31,64,0.0,0.71,32,64
Montel Jackson,11,2,0,135.0,75.0,Southpaw,3.42,55,1.34,57,4.13,78,68,0.3,0.85,30,70
Timothy Johnson,12,4,0,265.0,77.0,Southpaw,3.43,45,3.08,44,1.09,24,69,0.0,0.75,37,75
Jeff Molina,11,2,0,125.0,69.0,Orthodox,7.25,48,5.04,55,0.0,0,66,0.0,0.85,25,66
Townsend Saunders,0,2,0,170.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,65
Jorge Patino,38,19,2,170.0,,Orthodox,1.33,30,3.14,53,0.54,25,50,0.0,0.67,48,68
Mikey Burnett,5,2,0,170.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.71,48,66
Andre Pederneiras,1,1,2,155.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.5,55,68
Tom Egan,7,5,0,170.0,,Orthodox,0.0,0,3.91,50,0.0,0,28,0.0,0.58,,71
Sammy Morgan,18,12,0,170.0,,Orthodox,1.05,22,3.74,40,1.43,20,0,0.5,0.6,40,70
Kris McCray,8,5,0,170.0,76.0,Orthodox,2.69,45,2.57,54,2.88,55,38,0.0,0.62,40,72
Sam Hughes,7,4,0,115.0,64.0,Orthodox,3.77,47,4.73,53,1.41,40,41,0.0,0.64,30,65
Chris Beal,10,5,0,125.0,69.0,Orthodox,3.45,35,3.18,61,1.6,58,78,0.2,0.67,36,67
Loopy Godinez,8,2,0,115.0,61.0,Orthodox,2.23,57,1.73,58,5.37,46,80,0.9,0.8,28,62
Pascal Krauss,11,2,0,170.0,,Orthodox,5.45,47,3.88,59,1.53,50,60,0.9,0.85,35,73
Genki Sudo,15,4,2,155.0,,Orthodox,1.55,39,2.23,33,3.58,60,50,4.2,0.79,44,69
Felipe Colares,10,4,0,145.0,69.0,Orthodox,2.17,45,4.65,36,1.88,24,43,0.5,0.71,28,68
Brett Johns,17,2,0,135.0,71.0,Orthodox,2.86,49,3.84,53,4.92,49,58,1.0,0.89,30,67
John Alessio,35,17,0,155.0,72.0,Orthodox,2.1,39,2.91,54,1.85,38,70,1.2,0.67,43,70
Aoriqileng,23,11,0,135.0,69.0,Orthodox,6.65,46,7.77,49,2.29,62,54,0.0,0.68,29,67
Andre Galvao,5,2,0,168.0,,Orthodox,2.34,52,1.56,58,2.02,27,0,2.8,0.71,39,67
Ricky Simon,20,3,0,135.0,69.0,Orthodox,3.04,44,2.95,64,6.55,52,75,0.5,0.87,29,66
Marcelo Golm,6,3,0,249.0,75.0,Orthodox,4.27,58,4.3,45,0.45,50,87,0.5,0.67,29,75
Rico DiSciullo,9,2,0,135.0,,Orthodox,1.71,33,4.41,56,0.0,0,0,0.0,0.82,35,68
Eugenio Tadeu,2,3,0,160.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.4,,68
Carlos Eduardo Rocha,9,4,0,170.0,73.0,Orthodox,1.24,34,1.85,55,0.0,0,52,1.4,0.69,41,70
Luana Pinheiro,10,1,0,115.0,62.0,Orthodox,4.49,41,3.4,60,4.76,77,0,0.7,0.91,29,62
Mike Stumpf,11,4,0,170.0,,,3.34,43,8.85,47,1.59,25,33,0.8,0.73,35,70
Daniel Da Silva,11,3,0,125.0,70.0,Switch,3.4,77,7.36,22,2.12,33,0,0.0,0.79,26,66
Mark Scanlon,9,2,0,170.0,,Orthodox,2.2,35,3.33,48,3.0,75,25,2.0,0.82,,69
Geraldo de Freitas,12,6,0,135.0,72.0,Orthodox,3.67,52,2.62,50,3.0,45,59,0.0,0.67,30,67
Leigh Remedios,18,10,2,155.0,,Orthodox,0.75,41,1.36,68,0.0,0,33,0.0,0.64,46,67
Kwan Ho Kwak,9,2,0,135.0,,Switch,3.29,41,3.45,47,0.78,100,26,0.0,0.82,33,65
Domingo Pilarte,8,3,0,135.0,73.0,Southpaw,1.31,47,2.96,40,1.2,42,54,0.8,0.73,32,72
Chris Gutierrez,18,3,2,135.0,67.0,Orthodox,4.69,58,2.61,63,0.44,37,73,0.1,0.86,31,69
Jay Perrin,10,5,0,135.0,67.0,Switch,2.83,41,3.7,44,3.0,60,54,0.0,0.67,29,67
Jason High,21,6,0,155.0,73.0,Southpaw,1.28,42,1.56,48,2.36,63,37,2.8,0.78,40,68
Arjan Bhullar,9,1,0,245.0,75.0,Orthodox,2.33,56,3.25,59,1.73,75,100,0.0,0.9,36,73
Christian Colombo,8,3,1,265.0,,Orthodox,2.76,44,4.02,42,0.0,0,33,0.0,0.73,42,77
Sergei Pavlovich,15,1,0,257.0,84.0,Southpaw,6.08,50,4.45,46,0.0,0,66,0.0,0.94,30,75
Donavon Frelow,6,3,0,135.0,,Orthodox,2.4,27,3.2,52,1.0,100,26,0.0,0.67,37,67
Gaetano Pirrello,15,7,1,135.0,65.0,Orthodox,0.99,55,2.44,42,0.0,0,30,0.0,0.68,30,67
Alonzo Menifield,12,3,0,205.0,76.0,Orthodox,3.88,56,3.23,53,0.82,30,83,0.2,0.8,34,72
Merab Dvalishvili,14,4,0,135.0,68.0,Orthodox,4.26,41,2.28,60,7.3,45,78,0.3,0.78,31,66
Brian Gassaway,29,20,2,170.0,,Orthodox,0.34,26,3.65,44,0.0,0,42,0.0,0.59,49,73
Jack Shore,16,1,0,135.0,71.0,Orthodox,3.96,58,2.34,57,3.66,39,80,0.6,0.94,27,68
Victor Altamirano,10,2,0,125.0,70.0,Switch,5.97,57,5.23,50,2.5,41,72,0.0,0.83,31,68
Raoni Barcelos,16,3,0,135.0,67.0,Orthodox,5.98,51,5.64,61,1.66,43,92,0.5,0.84,35,67
Stephanie Frausto,8,7,0,115.0,61.0,Orthodox,1.43,21,3.57,60,0.0,0,0,0.0,0.53,31,62
Francisco Figueiredo,13,4,1,125.0,68.0,Southpaw,1.98,60,2.59,63,2.88,75,82,0.5,0.76,32,66
Dwight Joseph,5,0,0,135.0,,Switch,2.6,52,2.87,55,1.0,20,20,1.0,1.0,32,66
Alex Serdyukov,8,5,0,170.0,74.0,Orthodox,4.94,48,3.1,46,1.84,55,67,1.8,0.62,42,74
Jarjis Danho,7,1,1,265.0,74.0,Orthodox,3.38,50,5.25,49,0.51,16,100,0.0,0.88,38,75
Luis Henrique,10,5,0,243.0,74.0,Orthodox,1.81,43,2.22,47,3.09,36,50,1.0,0.67,28,74
Jay Hieron,23,7,0,170.0,75.0,Orthodox,1.66,32,1.89,61,4.05,60,66,1.0,0.77,45,72
Terrion Ware,17,9,0,135.0,71.0,Orthodox,4.02,32,6.07,50,0.5,22,44,0.0,0.65,36,68
Yuya Shirai,26,14,2,168.0,,Orthodox,1.02,100,4.07,55,0.0,0,0,0.0,0.65,42,68
Dashawn Boatwright,3,1,0,205.0,,Orthodox,0.0,0,52.5,12,0.0,0,0,0.0,0.75,34,72
Brad Katona,8,2,0,135.0,64.0,Orthodox,3.33,51,2.98,57,1.25,22,47,0.0,0.8,30,66
Hunter Azure,9,2,0,145.0,69.0,Orthodox,3.92,53,2.08,58,1.97,34,67,1.3,0.82,30,68
Liudvik Sholinian,9,3,1,135.0,71.0,Orthodox,1.27,20,6.13,40,0.0,0,75,0.0,0.75,32,70
Carlos Hernandez,8,1,0,125.0,67.0,Orthodox,5.37,47,4.37,45,1.0,11,70,0.5,0.89,28,68
Carlos Candelario,8,2,0,125.0,68.0,Southpaw,3.11,46,4.04,42,2.33,33,53,0.3,0.8,31,68
Vinicius Moreira,9,5,0,205.0,76.0,Orthodox,3.15,59,5.07,43,1.97,18,0,1.3,0.64,33,76
Malcolm Gordon,14,5,0,125.0,71.0,Switch,2.39,44,2.43,44,2.06,25,0,0.7,0.74,32,67
Scott Norton,7,1,0,170.0,,Orthodox,0.67,30,0.34,60,2.52,25,0,0.0,0.88,49,70
Luis Santos,63,10,1,170.0,,Southpaw,4.4,57,4.0,64,0.0,0,0,0.0,0.86,,73
Yorgan De Castro,6,3,0,250.0,74.0,Orthodox,2.46,43,3.85,53,0.0,0,77,0.0,0.67,35,72
Tom Duquesnoy,16,2,0,135.0,68.0,Orthodox,3.83,45,5.3,62,0.42,25,46,0.0,0.89,29,67
Jerome Rivera,10,6,0,125.0,72.0,Southpaw,3.21,33,2.6,51,0.0,0,40,0.0,0.62,27,70
Ryan Stonitsch,8,1,0,170.0,,Southpaw,2.53,36,2.53,71,0.0,0,0,0.0,0.89,45,69
Adam Lynn,17,10,0,155.0,,Orthodox,1.47,63,6.95,10,0.0,0,50,0.0,0.63,,70
Tatsuro Taira,11,0,0,125.0,70.0,Orthodox,3.8,65,0.6,73,1.0,20,60,3.0,1.0,22,67
Matthew Lopez,10,4,0,135.0,69.0,Southpaw,3.13,50,3.73,55,3.32,60,71,1.3,0.71,35,67
Ronaldo Candido,6,0,0,125.0,,Southpaw,1.67,42,3.87,52,8.0,53,0,5.0,1.0,33,66
Jay Cucciniello,8,1,0,155.0,,Orthodox,0.93,21,4.73,36,0.0,0,71,0.0,0.89,36,67
Christian Ocon,2,1,0,135.0,69.0,Orthodox,1.73,53,5.27,34,0.0,0,63,0.0,0.67,26,68
Denys Bondar,16,4,0,125.0,69.0,Orthodox,2.93,80,2.2,72,10.98,100,0,0.0,0.8,30,66
Azamat Murzakanov,11,0,0,205.0,71.0,Southpaw,2.69,43,3.42,56,1.09,16,0,0.0,1.0,33,70
Cole Smith,7,2,0,135.0,67.0,Orthodox,1.78,35,1.96,49,1.67,33,45,1.7,0.78,33,71
Daniel Barez,12,5,0,125.0,66.0,Orthodox,3.47,50,5.13,53,5.0,31,100,2.0,0.71,33,66
Carlos Felipe,11,2,0,245.0,75.0,Orthodox,4.88,45,5.6,50,0.0,0,72,0.0,0.85,27,72
Justin Tafa,5,3,0,264.0,74.0,Southpaw,5.02,55,5.94,49,0.0,0,100,0.0,0.62,28,72
Greg Hardy,7,5,0,265.0,80.0,Orthodox,4.79,50,3.31,55,0.2,33,64,0.0,0.58,33,77
Sanford Alton Meeks,1,1,0,265.0,75.0,Orthodox,0.71,42,4.47,38,7.06,25,0,0.0,0.5,28,77
Luis Rodriguez,11,2,0,125.0,65.0,Orthodox,1.27,37,3.2,54,2.0,50,100,2.0,0.85,23,66
Tyson Nam,20,12,1,125.0,68.0,Orthodox,3.64,31,5.69,64,0.0,0,100,0.0,0.62,38,67
Johnny Eduardo,28,13,0,135.0,71.0,Orthodox,2.95,39,3.22,63,0.22,20,58,0.4,0.68,43,67
Jesse Taylor,31,15,0,170.0,73.0,Orthodox,1.94,65,0.55,38,7.28,50,100,3.1,0.67,39,72
Dmitrii Smoliakov,9,3,0,253.0,74.0,Switch,1.44,42,3.81,55,0.0,0,75,0.0,0.75,39,74
Ode Osbourne,11,4,0,125.0,73.0,Southpaw,4.82,44,4.99,42,1.05,25,66,0.5,0.73,30,67
Alejandro Perez,23,9,1,135.0,67.0,Orthodox,3.45,35,3.18,61,0.54,22,70,0.3,0.72,32,66
Matheus Scheffel,14,7,0,205.0,75.0,Orthodox,1.33,36,3.0,47,0.0,0,100,0.0,0.67,29,74
Amir Albazi,14,1,0,125.0,68.0,Orthodox,4.06,40,3.15,58,2.28,75,66,0.8,0.93,28,65
Mike Malott,8,1,1,170.0,73.0,Orthodox,5.02,40,4.19,54,1.55,33,0,0.8,0.89,30,73
Miles Johns,12,2,0,135.0,66.0,Orthodox,3.85,51,2.9,69,0.83,28,92,0.0,0.86,28,67
Carlos Huachin,10,5,1,135.0,67.0,Southpaw,2.1,21,4.8,50,0.0,0,66,0.0,0.67,26,64
Tai Tuivasa,15,3,0,264.0,75.0,Southpaw,4.54,52,3.56,48,0.0,0,50,0.0,0.83,29,74
Tebaris Gordon,3,1,0,265.0,,Orthodox,3.53,16,49.41,22,0.0,0,0,0.0,0.75,34,73
Serghei Spivac,14,3,0,260.0,78.0,Orthodox,3.79,49,3.22,54,3.29,60,70,0.2,0.82,27,75
Victor Henry,22,5,0,135.0,68.0,Switch,12.07,51,8.93,51,0.0,0,85,0.0,0.81,35,67
Zarrukh Adashev,4,4,0,125.0,65.0,Southpaw,3.65,40,3.04,64,0.0,0,100,0.5,0.5,29,65
Austen Lane,2,1,0,245.0,,Orthodox,5.26,35,6.32,60,0.0,0,0,0.0,0.67,34,78
Nathaniel Wood,17,5,0,145.0,69.0,Orthodox,6.28,46,4.36,53,1.29,46,75,0.9,0.77,29,66
Cody Stamann,20,5,1,135.0,64.0,Orthodox,4.19,47,3.39,63,2.76,42,75,0.0,0.8,32,66
Cyril Asker,9,4,0,247.0,74.0,Orthodox,3.35,39,5.82,35,4.41,62,100,0.9,0.69,36,72
Armando Villarreal,5,2,0,135.0,66.0,Southpaw,3.23,55,4.3,52,3.23,25,0,0.0,0.71,32,67
Timur Valiev,18,3,0,135.0,67.0,Orthodox,5.19,53,3.33,45,1.73,40,55,0.3,0.86,32,66
Kevin Natividad,9,3,0,145.0,70.0,Orthodox,2.63,24,4.02,54,0.0,0,100,0.0,0.75,29,66
Richie Santiago,7,2,0,135.0,67.0,Southpaw,3.87,49,4.87,42,0.0,0,25,0.0,0.78,29,67
